deadline, reneging rate, batch, obs, MRT, mean, variance, minVal, maxVal, included
200, 0.005, 5, 10, 537.092, 541.273, 398.096, 522.250, 560.295 , OK
70, 0.014, 5, 10, 428.419, 432.468, 258.361, 417.143, 447.792 , OK
175, 0.006, 5, 10, 520.072, 513.789, 301.509, 497.234, 530.344 , OK
15, 0.067, 5, 10, 231.185, 229.445, 14.109, 225.864, 233.026 , OK
75, 0.013, 5, 10, 435.637, 437.281, 80.344, 428.735, 445.827 , OK
125, 0.008, 5, 10, 499.611, 495.583, 29.222, 490.429, 500.737 , OK
80, 0.013, 5, 10, 429.381, 428.406, 70.833, 420.382, 436.430 , OK
55, 0.018, 5, 10, 392.549, 393.395, 208.933, 379.615, 407.176 , OK
95, 0.011, 5, 10, 466.776, 464.288, 228.463, 449.878, 478.699 , OK
33, 0.030, 5, 10, 324.786, 324.491, 33.204, 318.997, 329.985 , OK
100, 0.010, 5, 10, 472.693, 475.341, 458.393, 454.929, 495.754 , OK
40, 0.025, 5, 10, 346.125, 348.013, 51.055, 341.201, 354.825 , OK
60, 0.017, 5, 10, 404.360, 403.685, 126.807, 392.949, 414.421 , OK
85, 0.012, 5, 10, 453.586, 451.094, 45.761, 444.645, 457.544 , OK
45, 0.022, 5, 10, 365.532, 363.503, 19.409, 359.303, 367.703 , OK
65, 0.015, 5, 10, 418.824, 411.790, 71.896, 403.706, 419.874 , OK
90, 0.011, 5, 10, 459.816, 464.483, 307.759, 447.758, 481.209 , OK
25, 0.040, 5, 10, 289.659, 290.680, 71.535, 282.617, 298.744 , OK
150, 0.007, 5, 10, 518.856, 518.291, 724.143, 492.635, 543.947 , OK
50, 0.020, 5, 10, 385.613, 383.962, 10.771, 380.833, 387.091 , OK
20, 0.050, 5, 10, 263.973, 265.337, 15.528, 261.580, 269.094 , OK
