deadline, reneging rate, batch, obs, MEC, mean, variance, minVal, maxVal, included
60, 0.017, 5, 10, 2.918, 2.896, 0.001, 2.870, 2.922 , OK
150, 0.007, 5, 10, 2.593, 2.592, 0.001, 2.556, 2.627 , OK
175, 0.006, 5, 10, 2.565, 2.567, 0.004, 2.506, 2.628 , OK
45, 0.022, 5, 10, 3.083, 3.045, 0.001, 3.009, 3.082 
25, 0.040, 5, 10, 3.335, 3.356, 0.000, 3.340, 3.372 
65, 0.015, 5, 10, 2.898, 2.906, 0.001, 2.875, 2.937 , OK
50, 0.020, 5, 10, 2.998, 3.017, 0.002, 2.978, 3.056 , OK
55, 0.018, 5, 10, 2.955, 2.953, 0.001, 2.921, 2.985 , OK
70, 0.014, 5, 10, 2.864, 2.839, 0.001, 2.810, 2.868 , OK
125, 0.008, 5, 10, 2.674, 2.686, 0.001, 2.656, 2.716 , OK
75, 0.013, 5, 10, 2.816, 2.796, 0.002, 2.749, 2.843 , OK
95, 0.011, 5, 10, 2.754, 2.740, 0.002, 2.696, 2.784 , OK
200, 0.005, 5, 10, 2.551, 2.526, 0.001, 2.500, 2.553 , OK
85, 0.012, 5, 10, 2.774, 2.785, 0.002, 2.745, 2.825 , OK
15, 0.067, 5, 10, 3.625, 3.598, 0.001, 3.565, 3.630 , OK
33, 0.030, 5, 10, 3.173, 3.176, 0.001, 3.140, 3.211 , OK
20, 0.050, 5, 10, 3.488, 3.498, 0.001, 3.464, 3.531 , OK
100, 0.010, 5, 10, 2.721, 2.720, 0.000, 2.704, 2.737 , OK
90, 0.011, 5, 10, 2.769, 2.773, 0.002, 2.727, 2.820 , OK
80, 0.013, 5, 10, 2.812, 2.822, 0.005, 2.755, 2.888 , OK
40, 0.025, 5, 10, 3.096, 3.086, 0.003, 3.035, 3.136 , OK
